employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score
8724,Technology,region_26,Bachelors,m,sourcing,1,24,,1,1,0,77
74430,HR,region_4,Bachelors,f,other,1,31,3,5,0,0,51
72255,"Sales & Marketing",region_13,Bachelors,m,other,1,31,1,4,0,0,47
38562,Procurement,region_2,Bachelors,f,other,3,31,2,9,0,0,65
64486,Finance,region_29,Bachelors,m,sourcing,1,30,4,7,0,0,61
46232,Procurement,region_7,Bachelors,m,sourcing,1,36,3,2,0,0,68
54542,Finance,region_2,Bachelors,m,other,1,33,5,3,1,0,57
67269,Analytics,region_22,Bachelors,m,sourcing,2,36,3,3,0,0,85
66174,Technology,region_7,"Masters & above",m,other,1,51,4,11,0,0,75
76303,Technology,region_22,Bachelors,m,sourcing,1,29,5,2,1,0,76
60245,"Sales & Marketing",region_16,Bachelors,m,sourcing,2,40,5,12,1,0,50
42639,"Sales & Marketing",region_17,"Masters & above",m,sourcing,1,40,3,10,0,0,46
30963,"Sales & Marketing",region_4,"Masters & above",f,other,1,34,3,4,0,0,52
54055,Analytics,region_24,Bachelors,m,other,1,37,3,10,0,0,82
42996,Operations,region_11,Bachelors,m,sourcing,1,30,5,6,1,0,58
12737,"Sales & Marketing",region_7,Bachelors,m,sourcing,1,31,4,4,1,0,47
27561,Operations,region_27,Bachelors,f,sourcing,1,26,5,3,0,0,56
26622,"Sales & Marketing",region_17,Bachelors,m,sourcing,1,40,5,6,1,0,50
31582,Procurement,region_7,Bachelors,f,other,1,49,3,7,1,0,64
29793,Procurement,region_27,Bachelors,m,other,1,27,2,5,0,0,65
72735,"Sales & Marketing",region_9,"Masters & above",m,sourcing,1,37,5,3,0,0,47
5677,Technology,region_17,Bachelors,m,sourcing,1,25,,1,0,0,80
60889,Technology,region_29,"Masters & above",m,sourcing,1,30,1,3,0,0,83
51498,Procurement,region_4,"Masters & above",m,other,1,41,3,4,0,0,76
8566,Finance,region_20,Bachelors,f,other,1,29,4,6,1,0,58
53151,Operations,region_20,Bachelors,m,other,1,33,3,7,1,1,62
16203,"Sales & Marketing",region_17,"Masters & above",m,sourcing,1,34,4,6,1,0,50
61083,Analytics,region_13,Bachelors,m,sourcing,1,34,3,3,1,0,87
74849,Operations,region_22,Bachelors,m,other,1,52,1,10,0,0,61
13259,"Sales & Marketing",region_34,Bachelors,m,sourcing,1,30,2,3,0,0,50
72407,Analytics,region_2,"Masters & above",m,sourcing,2,34,4,7,0,0,87
65237,"Sales & Marketing",region_2,Bachelors,m,sourcing,2,43,1,14,0,0,52
67672,Technology,region_17,Bachelors,m,other,1,29,,1,1,0,85
77460,"Sales & Marketing",region_2,Bachelors,f,sourcing,1,35,3,3,1,0,52
67317,Technology,region_22,"Masters & above",m,other,4,40,3,12,0,0,77
68788,Technology,region_23,Bachelors,m,sourcing,2,33,4,9,0,0,83
36834,"Sales & Marketing",region_8,"Masters & above",m,other,1,30,3,2,1,0,55
64281,"Sales & Marketing",region_14,Bachelors,f,sourcing,2,42,1,3,1,0,46
1822,"Sales & Marketing",region_22,Bachelors,m,sourcing,3,29,1,3,0,0,51
55325,Analytics,region_22,Bachelors,m,other,1,25,,1,0,0,88
41432,Analytics,region_26,Bachelors,m,sourcing,1,26,5,4,1,0,90
52061,"Sales & Marketing",region_31,Bachelors,m,other,1,27,2,3,0,0,52
39973,Operations,region_13,Bachelors,m,other,1,34,5,5,1,0,66
42524,"Sales & Marketing",region_31,Bachelors,m,sourcing,1,26,4,5,0,0,45
7935,Technology,region_2,Bachelors,f,other,1,52,5,18,0,0,80
49940,"Sales & Marketing",region_7,Bachelors,m,other,1,26,5,2,1,0,54
10059,Analytics,region_34,Bachelors,m,sourcing,3,27,3,2,0,0,83
44159,Analytics,region_22,"Masters & above",m,other,1,31,,1,1,0,84
76691,Operations,region_23,Bachelors,m,other,1,33,4,8,1,0,59
3720,"Sales & Marketing",region_2,,m,sourcing,1,36,5,4,1,0,49
5621,Technology,region_2,"Masters & above",f,other,1,57,1,26,0,0,76
24147,"Sales & Marketing",region_2,Bachelors,m,other,2,46,1,7,0,0,49
33997,"Sales & Marketing",region_19,Bachelors,m,sourcing,1,30,2,3,0,0,50
64076,Operations,region_2,"Below Secondary",m,other,1,21,,1,1,0,56
21379,Technology,region_4,Bachelors,m,sourcing,1,26,,1,1,0,85
23714,Technology,region_7,"Masters & above",m,sourcing,2,40,3,6,0,0,81
19866,Technology,region_23,Bachelors,m,other,2,32,3,6,0,0,79
4529,Finance,region_22,"Masters & above",f,sourcing,1,36,3,2,1,0,61
64703,Legal,region_2,Bachelors,m,other,1,28,2,2,0,0,62
19649,Operations,region_22,Bachelors,f,sourcing,1,29,5,4,1,0,56
6596,"Sales & Marketing",region_2,"Masters & above",m,sourcing,1,38,4,4,0,0,49
7999,Technology,region_4,Bachelors,m,other,1,31,2,4,1,0,78
4762,"Sales & Marketing",region_22,Bachelors,m,other,1,29,1,4,0,0,46
5387,Technology,region_5,"Below Secondary",m,other,1,23,,1,0,0,81
24620,Operations,region_26,Bachelors,m,sourcing,1,41,4,6,1,0,60
57989,Procurement,region_2,Bachelors,m,other,1,29,5,2,1,0,74
75619,"Sales & Marketing",region_28,Bachelors,f,other,1,29,2,5,0,0,51
26977,Operations,region_2,,m,sourcing,1,28,3,3,0,0,59
65975,Analytics,region_29,Bachelors,m,other,2,28,5,4,1,0,84
51302,Procurement,region_22,Bachelors,f,sourcing,1,31,1,6,0,0,64
63714,Technology,region_4,"Masters & above",m,sourcing,1,36,3,4,0,0,76
70556,Operations,region_2,Bachelors,m,other,3,26,3,4,1,0,57
70117,Technology,region_15,Bachelors,m,other,1,29,3,2,0,0,84
51972,Analytics,region_7,Bachelors,m,sourcing,1,32,4,6,0,0,85
60572,"Sales & Marketing",region_2,Bachelors,f,other,1,40,1,10,0,0,50
9548,Analytics,region_22,Bachelors,m,sourcing,2,38,4,13,0,0,87
64,Analytics,region_4,Bachelors,m,other,1,42,5,11,1,0,80
35510,Procurement,region_29,"Masters & above",f,other,1,33,3,6,0,0,68
10732,Analytics,region_2,Bachelors,m,other,1,31,5,5,1,0,92
9214,Operations,region_3,"Masters & above",f,sourcing,1,35,3,4,0,0,58
10761,HR,region_2,"Masters & above",f,sourcing,1,58,5,6,1,0,51
32110,"Sales & Marketing",region_28,Bachelors,f,sourcing,1,26,2,4,0,0,48
50038,HR,region_29,Bachelors,f,sourcing,1,33,3,8,1,0,49
1555,Technology,region_7,Bachelors,m,sourcing,1,30,3,3,1,0,80
21200,Technology,region_13,"Masters & above",f,sourcing,1,43,3,12,0,0,79
50380,HR,region_17,Bachelors,f,sourcing,1,31,4,7,0,0,48
45009,Analytics,region_29,Bachelors,m,sourcing,1,32,3,5,1,0,86
65450,Technology,region_2,"Masters & above",f,sourcing,2,57,2,7,0,0,83
77333,Operations,region_2,Bachelors,f,other,1,54,4,22,0,0,57
2347,Analytics,region_15,,m,other,2,37,5,8,1,0,82
8443,R&D,region_22,"Masters & above",m,other,2,27,4,5,0,0,86
39490,Operations,region_22,"Masters & above",m,sourcing,1,44,3,10,0,0,55
69077,Technology,region_24,"Masters & above",f,other,1,37,3,10,0,0,81
64652,Procurement,region_7,"Masters & above",m,other,1,48,4,8,0,0,72
5254,"Sales & Marketing",region_25,Bachelors,f,other,1,31,3,6,1,0,43
71131,Finance,region_22,Bachelors,f,other,1,28,5,5,1,0,60
19620,Procurement,region_13,"Masters & above",f,other,1,34,3,4,0,0,69
41266,"Sales & Marketing",region_14,Bachelors,f,sourcing,1,44,1,4,0,0,47
11001,"Sales & Marketing",region_12,Bachelors,m,sourcing,1,27,5,2,0,0,50
28530,Operations,region_22,"Masters & above",m,referred,1,45,3,4,1,0,57
72481,"Sales & Marketing",region_13,Bachelors,m,sourcing,1,24,4,2,0,0,48
67417,Analytics,region_29,Bachelors,m,other,1,37,5,4,0,0,82
51840,Analytics,region_22,"Masters & above",m,other,1,27,,1,1,0,86
43223,Legal,region_22,Bachelors,m,other,1,33,,1,1,0,59
40287,"Sales & Marketing",region_2,"Masters & above",f,other,1,31,1,2,1,0,53
29367,"Sales & Marketing",region_7,"Masters & above",m,sourcing,3,38,3,5,0,0,49
36352,Procurement,region_22,Bachelors,m,other,1,32,5,2,1,0,72
29681,Analytics,region_19,Bachelors,m,other,1,29,3,4,0,0,84
30233,"Sales & Marketing",region_15,Bachelors,m,other,1,37,4,9,0,0,50
66601,Operations,region_13,Bachelors,m,other,2,42,3,12,0,0,60
40276,R&D,region_22,"Masters & above",m,sourcing,2,32,5,5,1,0,88
1522,Operations,region_13,Bachelors,m,other,1,45,3,3,0,0,60
17936,Analytics,region_29,Bachelors,m,other,1,28,3,7,0,0,83
26270,Technology,region_15,"Masters & above",m,sourcing,1,35,1,9,0,0,81
6837,"Sales & Marketing",region_4,Bachelors,m,other,3,28,3,5,0,0,48
49665,Operations,region_8,Bachelors,f,other,1,37,1,3,1,0,59
1908,Analytics,region_4,"Masters & above",m,other,1,38,4,7,1,0,88
6474,Procurement,region_2,Bachelors,f,sourcing,1,31,1,6,0,0,68
